filename, language, JavaScript, JSON, Properties, Markdown, Groovy, Batch, Shell Script, Objective-C, C++, TypeScript, XML, Java, comment, blank, total
/home/cjw/dev/code/Ylink/src/view/index/mine.js, JavaScript, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 208
/home/cjw/dev/code/Ylink/src/view/index/study.js, JavaScript, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 177
/home/cjw/dev/code/Ylink/src/view/index/translate.js, JavaScript, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 74
/home/cjw/dev/code/Ylink/src/view/login/loginStyle.js, JavaScript, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 78
/home/cjw/dev/code/Ylink/src/view/login/loginView.js, JavaScript, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 172
/home/cjw/dev/code/Ylink/src/view/mine/star.js, JavaScript, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 140
/home/cjw/dev/code/Ylink/src/view/mine/wordbook.js, JavaScript, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 149
/home/cjw/dev/code/Ylink/src/view/study/test.js, JavaScript, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 111
/home/cjw/dev/code/Ylink/src/view/translate/result.js, JavaScript, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 227
/home/cjw/dev/code/Ylink/start.sh, Shell Script, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
Total, -, 3543, 9711, 42, 399, 111, 76, 1, 86, 5, 48, 81, 63, 417, 586, 15169
